var;label
Caracterização do órgão gestor;A339
SubordAssistência social;A340
SubordAgricultura;A341
SubordPlanejamento;A342
SubordSaúde;A343
SubordDireitos Humanos;A344
SubordOutra;A345
Lei municipal de segurança alimentar e nutricional;A346
Mês e ano da promulgação ou apresentação do projeto de lei;A347
Conselho municipal de segurança alimentar e nutricional - existência;A348
Ano de criação do conselho;A349
O conselho é paritário;A350
CaraterConsultivo;A351
CaraterDeliberativo;A352
CaraterNormativo;A353
CaraterFiscalizador;A354
O conselho realizou reunião nos últimos 12 meses;A355
Há recursos orçamentários municipais para apoiar o funcionamento do conselho;A356
Câmara ou instância governamental intersetorial de segurança alimentar - existência;A357
RepreFazenda;A358
ReprePlanejamento;A359
RepreAgricultura;A360
RepreSaúde;A361
RepreEducação;A362
RepreAssistência social;A363
RepreSegurança alimentar;A364
RepreGabinete do prefeito;A365
RepreDireitos humanos;A366
RepreTrabalho;A367
RepreOutros;A368
Órgão responsável pela coordenação da câmara ou instância;A369
Plano municipal de segurança alimentar e nutricional - existência;A370
Oferta de refeições;A371
Doação de alimentos;A372
Construção de cisternas;A373
Inclusão produtiva;A374
Alimentação escolar;A375
Cadastramento socioeconômico;A376
Ações de saúde e nutrição;A377
Educação alimentar e nutricional;A378
Aquisição de alimentos de agricultura familiar;A379
Abastecimento alimentar;A380
Utilização de sistema informatizado para gestão, monitoramento e avaliação;A381
Articulação e referenciamento com outros serviços;A382
Disseminação de orientações técnicas e materiais informativos;A383
Capacitação de gestores e/ou conselheiros na área de segurança alimentar e nutricional;A384
Pesquisas, estudos e diagnósticos;A385
Outros;A386
Há recursos orçamentários municipais previstos para o financiamento de políticas de segurança alimentar e nutricional (exceto contrapartida de convênios com os governos estadual e federal);A387
